VIN (1-10);County;City;State;Postal Code;Model Year;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range;Base MSRP;Legislative District;DOL Vehicle ID;Vehicle Location;Electric Utility;2020 Census Tract
7SAYGAEE7N;Snohomish;Bothell;WA;98012;2022;134;1;2;0;0;1;195278513;POINT (-122.21061 47.83448);PUGET SOUND ENERGY INC;53061052107
5YJYGDEEXL;Kitsap;Silverdale;WA;98383;2020;134;1;1;291;0;35;236058196;POINT (-122.69275 47.65171);PUGET SOUND ENERGY INC;53035091400
7SAYGDEF6P;Clark;Vancouver;WA;98665;2023;134;1;2;0;0;49;230243709;POINT (-122.64443 45.67871);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011041008
JTMAB3FV7M;Island;Coupeville;WA;98239;2021;141 PRIME;2;1;42;0;10;176423054;POINT (-122.68558 48.21857);PUGET SOUND ENERGY INC;53029971000
5YJ3E1EAXR;King;Seattle;WA;98116;2024;131;1;2;0;0;34;273475408;POINT (-122.41067 47.57894);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033009702
KNDAEFS52R;Mason;Shelton;WA;98584;2024;76;1;2;0;0;35;261373941;POINT (-123.10565 47.21248);BONNEVILLE POWER ADMINISTRATION||136 OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY;53045960600
7SAYGAEE2N;King;Maple Valley;WA;98038;2022;134;1;2;0;0;5;195205223;POINT (-122.04526 47.39394);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032011
5YJ3E1EB8N;King;Issaquah;WA;98027;2022;131;1;2;0;0;5;209984386;POINT (-122.03439 47.5301);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);5303302426
1N4CZ1CVXP;King;Seattle;WA;98115;2023;113;1;2;0;0;46;236521218;POINT (-122.31676 47.68156);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033004000
1N4AZ0CP4F;King;Bellevue;WA;98006;2015;113;1;1;84;0;41;256908242;POINT (-122.12096 47.55584);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033024905
KM8KRDAF3P;King;Federal Way;WA;98023;2023;63 5;1;2;0;0;30;251163951;POINT (-122.36321 47.3084);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033030304
5YJ3E1EA7J;King;Seattle;WA;98115;2018;131;1;1;215;0;46;474313605;POINT (-122.31676 47.68156);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033004000
5YJ3E1EC3P;King;Kent;WA;98032;2023;131;1;2;0;0;33;229728222;POINT (-122.23741 47.3807);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033029102
7SAYGDEE0P;King;Bellevue;WA;98006;2023;134;1;2;0;0;41;245466728;POINT (-122.12096 47.55584);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033023902
2C4RC1L78P;King;Renton;WA;98057;2023;40;2;1;32;0;11;253426428;POINT (-122.20489 47.47532);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033026200
7SAYGDEE4R;King;Bellevue;WA;98008;2024;134;1;2;0;0;48;266943183;POINT (-122.11867 47.63131);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033023403
1N4BZ1DV5N;King;Maple Valley;WA;98038;2022;113;1;2;0;0;5;272082898;POINT (-122.04526 47.39394);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032011
5YJ3E1EA4H;Clark;Camas;WA;98607;2017;131;1;1;220;0;18;127126667;POINT (-122.40199 45.58694);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011040610
1G1FZ6S03M;Spokane;Spokane;WA;99203;2021;35;1;2;0;0;6;152383843;POINT (-117.39322 47.63374);MODERN ELECTRIC WATER COMPANY;53063004400
3C3CFFGE3F;King;Seattle;WA;98118;2015;42;1;1;87;0;37;202216430;POINT (-122.2668 47.55115);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033010102
1G1RC6S50H;Snohomish;Marysville;WA;98271;2017;39;2;1;53;0;38;242510026;POINT (-122.1677 48.11026);NO KNOWN ELECTRIC UTILITY SERVICE;53061940001
KM8KRDDF1R;Clallam;Port Angeles;WA;98362;2024;63 5;1;2;0;0;24;264590049;POINT (-123.43112 48.11892);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY;53009001400
WBY1Z8C58H;Kitsap;Kingston;WA;98346;2017;20;2;1;97;0;23;173343341;POINT (-122.4977 47.79802);PUGET SOUND ENERGY INC;53035090101
7SAYGAEE3P;King;Seattle;WA;98118;2023;134;1;2;0;0;37;253449724;POINT (-122.2668 47.55115);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033010102
5YJYGDEE3L;King;Bellevue;WA;98008;2020;134;1;1;291;0;48;115330463;POINT (-122.11867 47.63131);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033023403
7SAYGDEEXR;Snohomish;Bothell;WA;98012;2024;134;1;2;0;0;44;270142449;POINT (-122.21061 47.83448);PUGET SOUND ENERGY INC;53061052008
WA1E2AFY6L;King;Seattle;WA;98112;2020;9 E;2;3;20;0;37;131577995;POINT (-122.30207 47.64085);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033007800
7SAYGDEE2N;King;Seattle;WA;98103;2022;134;1;2;0;0;43;266747771;POINT (-122.35436 47.67596);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033005100
1G1FX6S05P;Snohomish;Edmonds;WA;98026;2023;35;1;2;0;0;32;264648233;POINT (-122.31768 47.87166);PUGET SOUND ENERGY INC;53061050900
